original_tokens,compressed_tokens,token_reduction,compression_rate_pct,compression_ratio,file_name,line_number,original_char_length,compressed_char_length,char_compression_rate_pct
1438,710,728,50.62586926286509,2.0253521126760563,compressed_longbench_66ebd9895a08c7b9b35e0c7c_0.jsonl,1,6485,1807,72.13569776407094
1268,446,822,64.82649842271293,2.8430493273542603,compressed_longbench_66ebd9895a08c7b9b35e0c7c_1.jsonl,1,6315,1185,81.23515439429929
1237,355,882,71.30153597413096,3.484507042253521,compressed_longbench_66ebd9895a08c7b9b35e0c7c_2.jsonl,1,5944,988,83.37819650067296
1170,386,784,67.008547008547,3.0310880829015545,compressed_longbench_66ebd9895a08c7b9b35e0c7c_3.jsonl,1,5520,1045,81.06884057971014
1229,447,782,63.62896663954435,2.749440715883669,compressed_longbench_66ebd9895a08c7b9b35e0c7c_4.jsonl,1,6151,1242,79.8081612745895
1419,1320,99,6.976744186046512,1.075,compressed_longbench_66ece28e821e116aacb1db1f_0.jsonl,1,5899,3256,44.80420410239023
1300,631,669,51.46153846153846,2.0602218700475436,compressed_longbench_66ece28e821e116aacb1db1f_1.jsonl,1,5476,1728,68.44411979547115
1262,684,578,45.800316957210775,1.845029239766082,compressed_longbench_66ece28e821e116aacb1db1f_2.jsonl,1,5329,1803,66.16626008632014
1273,803,470,36.92065985860173,1.585305105853051,compressed_longbench_66ece28e821e116aacb1db1f_3.jsonl,1,5248,2252,57.08841463414633
1285,793,492,38.28793774319067,1.6204287515762925,compressed_longbench_66ece28e821e116aacb1db1f_4.jsonl,1,5241,2022,61.419576416714364
1349,661,688,51.00074128984433,2.0408472012102874,compressed_longbench_66ece958821e116aacb1df04_0.jsonl,1,5985,1650,72.4310776942356
1301,554,747,57.4173712528824,2.348375451263538,compressed_longbench_66ece958821e116aacb1df04_1.jsonl,1,5570,1596,71.34649910233392
1234,606,628,50.89141004862236,2.036303630363036,compressed_longbench_66ece958821e116aacb1df04_2.jsonl,1,5523,1644,70.23356871265617
1426,667,759,53.2258064516129,2.1379310344827585,compressed_longbench_66ece958821e116aacb1df04_3.jsonl,1,5936,1802,69.64285714285714
1473,1086,387,26.272912423625254,1.356353591160221,compressed_longbench_66ece958821e116aacb1df04_4.jsonl,1,6165,2842,53.90105433901054
1875,840,1035,55.2,2.232142857142857,compressed_longbench_66ed0cb0821e116aacb1e6c1_0.jsonl,1,5973,1595,73.29650092081032
2845,1180,1665,58.523725834797894,2.4110169491525424,compressed_longbench_66ed0cb0821e116aacb1e6c1_1.jsonl,1,13163,2419,81.62273038061232
1943,891,1052,54.14307771487391,2.180695847362514,compressed_longbench_66ed0cb0821e116aacb1e6c1_2.jsonl,1,6747,1685,75.02593745368313
1175,600,575,48.93617021276596,1.9583333333333333,compressed_longbench_66ed0cb0821e116aacb1e6c1_3.jsonl,1,4130,1348,67.36077481840194
3865,577,3288,85.07115135834411,6.69844020797227,compressed_longbench_66ed0cb0821e116aacb1e6c1_4.jsonl,1,6434,1248,80.6030463164439
1820,749,1071,58.84615384615385,2.4299065420560746,compressed_longbench_66efa466821e116aacb23219_0.jsonl,1,6646,1515,77.20433343364431
1738,1749,-11,-0.6329113924050633,0.9937106918238994,compressed_longbench_66efa466821e116aacb23219_1.jsonl,1,6676,3680,44.87717195925705
1483,921,562,37.89615643964936,1.6102062975027145,compressed_longbench_66efa466821e116aacb23219_2.jsonl,1,6267,2149,65.70927078346897
1755,720,1035,58.97435897435898,2.4375,compressed_longbench_66efa466821e116aacb23219_3.jsonl,1,6342,1380,78.240302743614
1554,954,600,38.61003861003861,1.628930817610063,compressed_longbench_66efa466821e116aacb23219_4.jsonl,1,6282,2117,66.30054122890799
1532,1494,38,2.4804177545691903,1.0254350736278448,compressed_longbench_66f167c3821e116aacb274f4_0.jsonl,1,6441,3786,41.22030740568234
1305,684,621,47.58620689655172,1.9078947368421053,compressed_longbench_66f167c3821e116aacb274f4_1.jsonl,1,6392,1960,69.33667083854819
1428,747,681,47.689075630252105,1.9116465863453815,compressed_longbench_66f167c3821e116aacb274f4_2.jsonl,1,6663,1947,70.77892841062585
1407,938,469,33.33333333333333,1.5,compressed_longbench_66f167c3821e116aacb274f4_3.jsonl,1,6756,2480,63.29188869153346
1364,1065,299,21.920821114369502,1.28075117370892,compressed_longbench_66f167c3821e116aacb274f4_4.jsonl,1,6468,2854,55.87507730364874
1893,1034,859,45.37770734284205,1.8307543520309477,compressed_longbench_66f2a557821e116aacb2a510_0.jsonl,1,7342,2473,66.31707981476437
1506,404,1102,73.17397078353254,3.727722772277228,compressed_longbench_66f2a557821e116aacb2a510_1.jsonl,1,6896,1130,83.61368909512761
1483,817,666,44.90896830748483,1.8151774785801713,compressed_longbench_66f2a557821e116aacb2a510_2.jsonl,1,6337,2166,65.81978854347483
1598,666,932,58.322903629536924,2.3993993993993996,compressed_longbench_66f2a557821e116aacb2a510_3.jsonl,1,6406,1430,77.67717764595692
2199,611,1588,72.21464301955434,3.5990180032733226,compressed_longbench_66f2a557821e116aacb2a510_4.jsonl,1,6561,1404,78.60082304526749
1616,1066,550,34.03465346534654,1.5159474671669793,compressed_longbench_66f36490821e116aacb2cc22_0.jsonl,1,7310,2856,60.930232558139544
1589,975,614,38.64065449968533,1.6297435897435897,compressed_longbench_66f36490821e116aacb2cc22_1.jsonl,1,6896,2533,63.26856148491879
1490,1167,323,21.677852348993287,1.2767780634104542,compressed_longbench_66f36490821e116aacb2cc22_2.jsonl,1,6896,3165,54.103828306264504
1370,860,510,37.22627737226277,1.5930232558139534,compressed_longbench_66f36490821e116aacb2cc22_3.jsonl,1,6134,2424,60.482556243886535
1407,1027,380,27.007818052594175,1.3700097370983446,compressed_longbench_66f36490821e116aacb2cc22_4.jsonl,1,6768,3080,54.49172576832151
1367,1009,358,26.18873445501097,1.354806739345887,compressed_longbench_66f3d2fc821e116aacb2f269_0.jsonl,1,6685,2615,60.88257292445773
1514,1536,-22,-1.453104359313078,0.9856770833333334,compressed_longbench_66f3d2fc821e116aacb2f269_1.jsonl,1,6650,3631,45.3984962406015
1683,1696,-13,-0.7724301841948901,0.9923349056603774,compressed_longbench_66f3d2fc821e116aacb2f269_2.jsonl,1,9058,4839,46.57761095164496
1332,718,614,46.0960960960961,1.8551532033426184,compressed_longbench_66f3d2fc821e116aacb2f269_3.jsonl,1,6726,1692,74.84388938447815
1332,1068,264,19.81981981981982,1.247191011235955,compressed_longbench_66f3d2fc821e116aacb2f269_4.jsonl,1,6999,2726,61.05157879697099
1349,580,769,57.00518902891031,2.325862068965517,compressed_longbench_66f41348821e116aacb30c89_0.jsonl,1,6038,1362,77.44286187479298
1404,680,724,51.566951566951566,2.0647058823529414,compressed_longbench_66f41348821e116aacb30c89_1.jsonl,1,6121,1715,71.98170233621957
1248,774,474,37.980769230769226,1.6124031007751938,compressed_longbench_66f41348821e116aacb30c89_2.jsonl,1,5910,2115,64.21319796954315
1304,825,479,36.733128834355824,1.5806060606060606,compressed_longbench_66f41348821e116aacb30c89_3.jsonl,1,6008,2141,64.3641810918775
1397,745,652,46.67143879742305,1.8751677852348994,compressed_longbench_66f41348821e116aacb30c89_4.jsonl,1,5661,1822,67.81487369722664
1513,930,583,38.53271645736947,1.6268817204301076,compressed_longbench_66f52d48821e116aacb32cf4_0.jsonl,1,5269,2388,54.67830707914215
1313,699,614,46.763137852246764,1.8783977110157368,compressed_longbench_66f52d48821e116aacb32cf4_1.jsonl,1,4750,1769,62.757894736842104
1294,435,859,66.38330757341576,2.974712643678161,compressed_longbench_66f52d48821e116aacb32cf4_2.jsonl,1,4873,1096,77.5087215267802
1406,499,907,64.50924608819346,2.817635270541082,compressed_longbench_66f52d48821e116aacb32cf4_3.jsonl,1,4943,1308,73.53833704228201
1311,858,453,34.55377574370709,1.527972027972028,compressed_longbench_66f52d48821e116aacb32cf4_4.jsonl,1,4864,2192,54.934210526315795
1710,970,740,43.27485380116959,1.7628865979381443,compressed_longbench_66f590fa821e116aacb33f35_0.jsonl,1,6573,2544,61.296211775444995
2120,361,1759,82.97169811320755,5.872576177285318,compressed_longbench_66f590fa821e116aacb33f35_1.jsonl,1,4012,880,78.06580259222333
2971,473,2498,84.079434533827,6.281183932346723,compressed_longbench_66f590fa821e116aacb33f35_2.jsonl,1,7918,1196,84.89517554938115
1600,718,882,55.125,2.2284122562674096,compressed_longbench_66f590fa821e116aacb33f35_3.jsonl,1,5938,1724,70.96665543954192
2442,1335,1107,45.33169533169533,1.8292134831460674,compressed_longbench_66f590fa821e116aacb33f35_4.jsonl,1,5958,2555,57.11648204095334
1553,1002,551,35.479716677398585,1.5499001996007984,compressed_longbench_66f7c780bb02136c067c35e8_0.jsonl,1,7052,2758,60.890527509926265
1491,1251,240,16.096579476861166,1.1918465227817745,compressed_longbench_66f7c780bb02136c067c35e8_1.jsonl,1,7033,3581,49.08289492393004
1517,1138,379,24.983520105471325,1.3330404217926186,compressed_longbench_66f7c780bb02136c067c35e8_2.jsonl,1,6875,3375,50.90909090909091
1531,1298,233,15.218811234487264,1.1795069337442219,compressed_longbench_66f7c780bb02136c067c35e8_3.jsonl,1,7584,3606,52.45253164556962
1505,1278,227,15.083056478405316,1.177621283255086,compressed_longbench_66f7c780bb02136c067c35e8_4.jsonl,1,7279,3478,52.21871136145075
1429,762,667,46.675997200839745,1.8753280839895012,compressed_longbench_66fa7f1dbb02136c067c6e6b_0.jsonl,1,6442,1887,70.70785470350822
1779,1117,662,37.21191680719505,1.5926589077887199,compressed_longbench_66fa7f1dbb02136c067c6e6b_1.jsonl,1,7012,2656,62.12207644038791
567,430,137,24.16225749559083,1.3186046511627907,compressed_longbench_66fa7f1dbb02136c067c6e6b_2.jsonl,1,3046,1194,60.80105055810899
1572,943,629,40.012722646310436,1.6670201484623541,compressed_longbench_66fa7f1dbb02136c067c6e6b_3.jsonl,1,7470,2555,65.79651941097724
1608,806,802,49.875621890547265,1.9950372208436724,compressed_longbench_66fa7f1dbb02136c067c6e6b_4.jsonl,1,6809,1766,74.06373916874725
1647,1108,539,32.72616879174256,1.486462093862816,compressed_longbench_66fab090bb02136c067c74e7_0.jsonl,1,7032,2578,63.339021615472134
1613,749,864,53.56478611283323,2.1535380507343125,compressed_longbench_66fab090bb02136c067c74e7_1.jsonl,1,6839,1910,72.0719403421553
1756,1269,487,27.733485193621867,1.3837667454688731,compressed_longbench_66fab090bb02136c067c74e7_2.jsonl,1,6483,2519,61.14453185253741
2063,1427,636,30.828889966068836,1.4456902592852137,compressed_longbench_66fab090bb02136c067c74e7_3.jsonl,1,6880,3038,55.84302325581396
2435,720,1715,70.4312114989733,3.3819444444444446,compressed_longbench_66fab090bb02136c067c74e7_4.jsonl,1,6457,1510,76.61452687006349
1346,799,547,40.63893016344725,1.6846057571964956,compressed_longbench_66fb8633bb02136c067c800b_0.jsonl,1,6975,2162,69.00358422939068
1333,1087,246,18.454613653413354,1.2263109475620975,compressed_longbench_66fb8633bb02136c067c800b_1.jsonl,1,6715,3088,54.013402829486225
1798,1073,725,40.32258064516129,1.6756756756756757,compressed_longbench_66fb8633bb02136c067c800b_2.jsonl,1,9277,2472,73.35345478064029
1647,1103,544,33.02975106253795,1.4932003626473256,compressed_longbench_66fb8633bb02136c067c800b_3.jsonl,1,6569,2576,60.785507687623685
1630,635,995,61.04294478527608,2.5669291338582676,compressed_longbench_66fb8633bb02136c067c800b_4.jsonl,1,6432,1666,74.09825870646767
1249,922,327,26.180944755804642,1.3546637744034706,compressed_longbench_66fba2bcbb02136c067c8112_0.jsonl,1,6208,2583,58.392396907216494
1300,1071,229,17.615384615384617,1.2138188608776843,compressed_longbench_66fba2bcbb02136c067c8112_1.jsonl,1,6571,2736,58.36250190229797
1355,834,521,38.45018450184502,1.6247002398081534,compressed_longbench_66fba2bcbb02136c067c8112_2.jsonl,1,6651,2319,65.13306269733874
1531,1683,-152,-9.928151534944481,0.9096850861556743,compressed_longbench_66fba2bcbb02136c067c8112_3.jsonl,1,9802,4363,55.488675780452965
2044,2145,-101,-4.9412915851272015,0.9529137529137529,compressed_longbench_66fba2bcbb02136c067c8112_4.jsonl,1,7753,5695,26.54456339481491
1253,719,534,42.617717478052676,1.7426981919332407,compressed_longbench_670cf52abb02136c067d2728_0.jsonl,1,5606,1814,67.64181234391722
1248,905,343,27.48397435897436,1.3790055248618784,compressed_longbench_670cf52abb02136c067d2728_1.jsonl,1,5308,2324,56.2170308967596
1274,357,917,71.97802197802197,3.5686274509803924,compressed_longbench_670cf52abb02136c067d2728_2.jsonl,1,5460,887,83.75457875457876
1251,510,741,59.2326139088729,2.4529411764705884,compressed_longbench_670cf52abb02136c067d2728_3.jsonl,1,5385,1321,75.46889507892294
1214,778,436,35.914332784184516,1.5604113110539846,compressed_longbench_670cf52abb02136c067d2728_4.jsonl,1,5249,2030,61.32596685082873
2691,1106,1585,58.90003716090673,2.4330922242314648,compressed_longbench_6713066fbb02136c067d3214_0.jsonl,1,9444,2229,76.3977128335451
2338,685,1653,70.70145423438836,3.413138686131387,compressed_longbench_6713066fbb02136c067d3214_1.jsonl,1,8936,1402,84.31065353625785
2338,647,1691,72.3267750213858,3.6136012364760433,compressed_longbench_6713066fbb02136c067d3214_2.jsonl,1,8946,1339,85.03241672255757
2338,669,1669,71.3857998289136,3.494768310911809,compressed_longbench_6713066fbb02136c067d3214_3.jsonl,1,8961,1191,86.70907264814196
2431,156,2275,93.58288770053476,15.583333333333334,compressed_longbench_6713066fbb02136c067d3214_4.jsonl,1,9106,269,97.04590379969251
1800,679,1121,62.27777777777778,2.6509572901325478,compressed_longbench_67246413bb02136c067d7374_0.jsonl,1,5178,1869,63.90498261877173
1680,906,774,46.07142857142857,1.8543046357615893,compressed_longbench_67246413bb02136c067d7374_1.jsonl,1,6276,2374,62.17335882727853
1407,852,555,39.44562899786781,1.6514084507042253,compressed_longbench_67246413bb02136c067d7374_2.jsonl,1,6006,2372,60.50616050616051
1350,962,388,28.74074074074074,1.4033264033264032,compressed_longbench_67246413bb02136c067d7374_3.jsonl,1,5945,2674,55.02102607232968
1754,804,950,54.16191562143672,2.181592039800995,compressed_longbench_67246413bb02136c067d7374_4.jsonl,1,6430,1889,70.62208398133748
